Year,Month,ALLOCATION,SWDI,reservoir_storage,,,,,,,,,,,allocation each year,,,,
1991,12,20,0.133333333,10536413,,,,,,,,,,,YEAR,ALLOCATION,CY SWDI-delta,WY SWDI-delta,SWDI at allocation month
1992,3,35,0.133333333,13553335,,,,,,,,,,,1992,45,0.1,0.119444444,0.133333333
1992,3,45,0.133333333,13553335,,,,,,,,,,,1993,100,0.633333333,0.483333333,0.733333333
1992,12,10,0.1,8991272,,,,,,,,,,,1994,50,0.244444444,0.347222222,0.233333333
1993,1,25,0.266666667,10004416,,,,,,,,,,,1995,100,0.888888889,0.730555556,0.5
1993,1,40,0.266666667,10004416,,,,,,,,,,,1996,100,0.766666667,0.775,0.766666667
1993,2,55,0.6,14763877,,,,,,,,,,,1997,100,0.630555556,0.705555556,1
1993,3,85,0.633333333,17688901,,,,,,,,,,,1998,100,0.947222222,0.836111111,0.933333333
1993,4,100,0.733333333,20303853,,,,,,,,,,,1999,100,0.763888889,0.836111111,0.8
1993,12,50,0.633333333,18411910,,,,,,,,,,,2000,90,0.627777778,0.641666667,0.633333333
1994,2,50,0.266666667,18764594,,,,,,,,,,,2001,39,0.383333333,0.444444444,0.366666667
1994,4,50,0.166666667,19890319,,,,,,,,,,,2002,70,0.463888889,0.469444444,0.433333333
1994,5,50,0.233333333,19934967,,,,,,,,,,,2003,90,0.611111111,0.547222222,0.733333333
1994,12,40,0.333333333,12234341,,,,,,,,,,,2004,65,0.513888889,0.558333333,0.6
1995,1,60,0.5,13314798,,,,,,,,,,,2005,90,0.811111111,0.708333333,0.833333333
1995,1,100,0.5,13314798,,,,,,,,,,,2006,100,0.897222222,0.888888889,0.966666667
1995,12,75,0.8,20767864,,,,,,,,,,,2007,60,0.380555556,0.536111111,0.9
1996,3,90,0.766666667,24298936,,,,,,,,,,,2008,35,0.236111111,0.269444444,0.433333333
1996,3,100,0.766666667,24298936,,,,,,,,,,,2009,40,0.230555556,0.205555556,0.2
1996,12,70,0.966666667,21225508,,,,,,,,,,,2010,50,0.577777778,0.469444444,0.533333333
1997,2,100,1,25069637,,,,,,,,,,,2011,80,0.930555556,0.869444444,1
1997,12,40,0.566666667,17557947,,,,,,,,,,,2012,65,0.486111111,0.597222222,0.566666667
1998,1,60,0.666666667,18795684,,,,,,,,,,,2013,35,0.313888889,0.383333333,0.366666667
1998,2,80,0.933333333,21760726,,,,,,,,,,,2014,5,0.072222222,0.105555556,0.066666667
1998,3,100,0.933333333,22896432,,,,,,,,,,,2015,20,0.058333333,0.063888889,0.1
1998,11,55,1,22724396,,,,,,,,,,,2016,60,0.3,0.222222222,0.266666667
1999,2,60,0.866666667,22963094,,,,,,,,,,,2017,85,0.858333333,0.755555556,0.9
1999,3,100,0.8,23599727,,,,,,,,,,,2018,35,0.461111111,0.527777778,0.533333333
1999,11,50,0.733333333,18976963,,,,,,,,,,,2019,75,0.794444444,0.725,0.8
2000,2,70,0.633333333,21006450,,,,,,,,,,,2020,20,0.411111111,0.508333333,0.333333333
2000,3,100,0.733333333,23677608,,,,,,,,,,,2021,5,0.111111111,0.180555556,0.133333333
2000,4,90,0.633333333,24197053,,,,,,,,,,,2022,5,0.155555556,0.138888889,0.133333333
2000,12,40,0.6,18453007,,,,,,,,,,,2023,100,0.85,0.697222222,1
2001,1,20,0.4,18482402,,,,,,,,,,,2024,40,0.522222222,0.661111111,
2001,3,25,0.433333333,20055152,,,,,,,,,,,,,,,
2001,3,30,0.433333333,20055152,,,,,,,,,,,,,,,
2001,5,33,0.366666667,22707062,,,,,,,,,,,,,,,
2001,5,35,0.366666667,22707062,,,,,,,,,,,,,,,
2001,8,39,0.366666667,17422176,,,,,,,,,,,,,,,
2001,11,20,0.333333333,13967732,,,,,,,,,,,,,,,
2002,1,45,0.566666667,17114640,,,,,,,,,,,,,,,
2002,3,55,0.566666667,20801203,,,,,,,,,,,,,,,
2002,3,60,0.566666667,20801203,,,,,,,,,,,,,,,
2002,5,65,0.466666667,23263399,,,,,,,,,,,,,,,
2002,8,70,0.433333333,18241192,,,,,,,,,,,,,,,
2002,12,20,0.366666667,14545461,,,,,,,,,,,,,,,
2003,1,45,0.6,17386631,,,,,,,,,,,,,,,
2003,3,50,0.4,20601025,,,,,,,,,,,,,,,
2003,4,70,0.533333333,22577123,,,,,,,,,,,,,,,
2003,5,90,0.733333333,24206742,,,,,,,,,,,,,,,
2003,12,35,0.7,17726905,,,,,,,,,,,,,,,
2004,1,50,0.866666667,19044131,,,,,,,,,,,,,,,
2004,3,65,0.6,22312658,,,,,,,,,,,,,,,
2004,12,40,0.466666667,15355520,,,,,,,,,,,,,,,
2005,1,60,0.766666667,16563685,,,,,,,,,,,,,,,
2005,4,70,0.8,23293148,,,,,,,,,,,,,,,
2005,4,80,0.8,23293148,,,,,,,,,,,,,,,
2005,5,90,0.833333333,24300150,,,,,,,,,,,,,,,
2005,11,55,0.866666667,20808708,,,,,,,,,,,,,,,
2005,12,65,0.9,20754527,,,,,,,,,,,,,,,
2006,1,70,0.966666667,24425587,,,,,,,,,,,,,,,
2006,3,80,0.833333333,24595803,,,,,,,,,,,,,,,
2006,4,100,0.966666667,25160185,,,,,,,,,,,,,,,
2006,11,60,0.9,21163371,,,,,,,,,,,,,,,
2007,11,25,0.3,14108710,,,,,,,,,,,,,,,
2008,2,35,0.433333333,16070046,,,,,,,,,,,,,,,
2008,10,15,0.166666667,11760295,,,,,,,,,,,,,,,
2009,3,20,0.166666667,14465603,,,,,,,,,,,,,,,
2009,4,30,0.233333333,17862981,,,,,,,,,,,,,,,
2009,5,40,0.2,18824921,,,,,,,,,,,,,,,
2009,11,5,0.266666667,13554234,,,,,,,,,,,,,,,
2010,2,15,0.333333333,16016097,,,,,,,,,,,,,,,
2010,3,20,0.5,18098089,,,,,,,,,,,,,,,
2010,4,30,0.666666667,20294066,,,,,,,,,,,,,,,
2010,5,40,0.7,22263105,,,,,,,,,,,,,,,
2010,5,45,0.7,22263105,,,,,,,,,,,,,,,
2010,6,50,0.533333333,23102440,,,,,,,,,,,,,,,
2010,11,25,0.633333333,17980780,,,,,,,,,,,,,,,
2010,12,50,0.833333333,18305151,,,,,,,,,,,,,,,
2011,1,60,0.933333333,20855912,,,,,,,,,,,,,,,
2011,3,70,0.9,22788075,,,,,,,,,,,,,,,
2011,4,80,1,24251536,,,,,,,,,,,,,,,
2011,11,60,0.966666667,22066691,,,,,,,,,,,,,,,
2012,2,50,0.366666667,21344332,,,,,,,,,,,,,,,
2012,4,60,0.5,23194044,,,,,,,,,,,,,,,
2012,5,65,0.566666667,25609727,,,,,,,,,,,,,,,
2012,11,30,0.466666667,15648390,,,,,,,,,,,,,,,
2012,12,40,0.5,16167588,,,,,,,,,,,,,,,
2013,3,35,0.366666667,20480252,,,,,,,,,,,,,,,
2013,11,5,0.2,12745087,,,,,,,,,,,,,,,
2014,1,0,0.066666667,12246520,,,,,,,,,,,,,,,
2014,4,5,0.066666667,14789989,,,,,,,,,,,,,,,
2014,12,10,0.033333333,9567862,,,,,,,,,,,,,,,
2015,1,15,0.133333333,12391631,,,,,,,,,,,,,,,
2015,3,20,0.1,15403895,,,,,,,,,,,,,,,
2015,12,10,0.066666667,8774378,,,,,,,,,,,,,,,
2016,1,15,0.2,9570373,,,,,,,,,,,,,,,
2016,2,30,0.2,12958042,,,,,,,,,,,,,,,
2016,3,45,0.2,14822251,,,,,,,,,,,,,,,
2016,4,60,0.266666667,19643657,,,,,,,,,,,,,,,
2016,11,20,0.366666667,14748821,,,,,,,,,,,,,,,
2016,12,45,0.4,15611365,,,,,,,,,,,,,,,
2017,1,60,0.833333333,18320614,,,,,,,,,,,,,,,
2017,4,85,0.9,24602227,,,,,,,,,,,,,,,
2017,11,15,0.8,19609713,,,,,,,,,,,,,,,
2018,1,20,0.333333333,19804555,,,,,,,,,,,,,,,
2018,4,30,0.4,23470060,,,,,,,,,,,,,,,
2018,5,35,0.533333333,25425878,,,,,,,,,,,,,,,
2018,11,10,0.533333333,16786368,,,,,,,,,,,,,,,
2019,1,15,0.466666667,17032880,,,,,,,,,,,,,,,
2019,2,35,0.7,19607096,,,,,,,,,,,,,,,
2019,3,70,0.966666667,23485883,,,,,,,,,,,,,,,
2019,6,75,0.8,26298882,,,,,,,,,,,,,,,
2019,12,10,0.766666667,18849044,,,,,,,,,,,,,,,
2020,1,15,0.633333333,20023060,,,,,,,,,,,,,,,
2020,5,20,0.333333333,22550371,,,,,,,,,,,,,,,
2020,12,10,0.3,14827560,,,,,,,,,,,,,,,
2021,3,5,0.133333333,15656893,,,,,,,,,,,,,,,
2021,12,0,0.2,11317235,,,,,,,,,,,,,,,
2022,1,15,0.266666667,13022407,,,,,,,,,,,,,,,
2022,3,5,0.133333333,14623680,,,,,,,,,,,,,,,
2022,12,5,0.2,11063663,,,,,,,,,,,,,,,
2023,1,30,0.533333333,13497275,,,,,,,,,,,,,,,
2023,2,35,0.833333333,18603214,,,,,,,,,,,,,,,
2023,3,75,0.933333333,19782598,,,,,,,,,,,,,,,
2023,4,100,1,23399815,,,,,,,,,,,,,,,
2023,12,10,0.7,19465803,,,,,,,,,,,,,,,
2024,2,15,0.533333333,20904843,,,,,,,,,,,,,,,
2024,3,30,0.566666667,22408625,,,,,,,,,,,,,,,
